13:40:56.856 INFO  >>> Бот сконфигурирован! 13:40:56 GMT+0300 (GMT+03:00) 
13:43:17.411 INFO  >>> Бот сконфигурирован! 
16:40:01.575 INFO  >>> База данных подключена 
16:40:36.581 INFO  >>> База данных подключена 
11:15:17.370 INFO  789 
11:15:43.450 INFO  21 
11:20:52.430 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): 789 
11:21:19.898 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "789787" 
11:22:29.745 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:23:03.882 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:23:13.808 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:23:14.896 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:23:15.710 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:23:16.402 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:29:09.753 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:29:27.250 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:29:27.250 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:29:27.250 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:29:30.766 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
11:30:42.603 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "78954" 
11:32:47.816 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "874558" 
13:44:39.373 INFO  123456 
13:45:10.360 INFO  123456 
13:45:49.511 INFO  123456 
13:45:51.273 INFO  123456 
13:45:53.213 INFO  123456 
13:54:33.601 INFO  123456 
13:57:22.848 INFO  Добавлен новый пользователь! 
13:57:38.732 INFO  Добавлен новый пользователь! 
14:01:05.053 INFO  Добавлен новый пользователь! 
14:01:18.809 INFO  Добавлен новый пользователь! 
14:05:54.618 INFO  Добавлен новый пользователь! 
14:05:58.439 INFO  Добавлен новый пользователь! 
14:23:02.681 INFO  Добавлен новый пользователь! 
14:26:39.169 INFO  Добавлен новый пользователь! 
14:32:48.939 INFO  Добавлен новый пользователь! 
14:33:46.771 INFO  Добавлен новый пользователь! 
14:36:08.627 INFO  Добавлен новый пользователь! 
14:36:14.629 INFO  Добавлен новый пользователь! 
14:36:40.992 INFO  Добавлен новый пользователь! 
14:37:13.960 INFO  Добавлен новый пользователь! 
14:37:46.777 INFO  Добавлен новый пользователь! 
14:37:48.172 INFO  Добавлен новый пользователь! 
14:38:26.055 INFO  Добавлен новый пользователь! 
14:38:31.759 INFO  Добавлен новый пользователь! 
14:38:59.474 INFO  Добавлен новый пользователь! 
14:39:05.657 INFO  Добавлен новый пользователь! 
14:40:01.498 INFO  Добавлен новый пользователь! 
14:48:18.376 INFO  Добавлен новый пользователь! 
14:51:59.217 ERROR ValidationError: username: Path `username` is required. 
14:52:30.349 ERROR ValidationError: username: Path `username` is required. 
14:52:42.320 INFO  Добавлен новый пользователь! 
14:52:59.271 INFO  Добавлен новый пользователь! 
14:53:37.064 INFO  Добавлен новый пользователь! 
14:53:55.841 INFO  Добавлен новый пользователь! 
15:01:11.028 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): /start 
15:01:11.065 INFO  Добавлен новый пользователь! 
15:01:13.882 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): /start 
15:01:17.496 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): 789\ 
15:01:40.821 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "/start" 
15:01:44.101 INFO  Сообщение от Вилен Куприенко 📽️ (@vilkup): "777" 
